,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
46,Grid,25,0.006905348002257804,0.0011849670283418487,0.03849307044084827,0.01864338768389878,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195240,218,7,0.019849682756949493,0.005720380973915955
47,Grid,25,0.004092153615425049,0.003325986740616318,0.03700117876812563,0.02962020064892297,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195249,320,8,0.007380978119202658,0.0007661668748087311
48,Grid,25,0.0065334187058889255,0.0024645627879846858,0.04101894933083926,0.025768114617441083,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195304,207,9,0.015250834713398175,0.00406885591790424
21,Grid,49,0.0070691975788381,0.0255325032191803,0.0311442734689588,0.0546642173554507,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183618,400.0,0,0.0235199438864918,0.0184633056403421
22,Grid,49,0.0043178168076703,0.0206137551795751,0.0231574946411308,0.0446716352517447,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183635,400.0,1,0.0215141406106138,0.0162959383719047
23,Grid,49,0.0050188867972302,0.0217384625791684,0.0233939808878749,0.0444615113660726,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183652,400.0,2,0.0210675304781976,0.0167195757819381
49,Grid,49,0.0022551966290510757,0.012811174461092626,0.017160784967503413,0.036142781882115345,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195314,400,3,0.018981996914611932,0.01055597783204155
50,Grid,49,0.0033250198949479758,0.01616078195548181,0.02001946503102248,0.03780380408767569,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195330,400,4,0.01778433905665321,0.012835762060533835
51,Grid,49,0.000990457343618297,0.0002586374773060961,0.014148748772161964,0.006228942648941096,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195347,400,5,0.007919806123220869,0.0007318198663122009
52,Grid,49,0.0011042664755604966,0.007072001366180647,0.012931954197553953,0.029424534392169306,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195403,400,6,0.01649258019461535,0.00596773489062015
53,Grid,49,0.00625948061974156,0.024571875888749654,0.02711157620060396,0.04921645158122335,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195419,365,7,0.02210487538061939,0.018312395269008096
54,Grid,49,0.005670909792081148,0.02394474367227277,0.026150095520183856,0.04765629812103383,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195438,400,8,0.021506202600849973,0.01827383388019162
55,Grid,49,0.0014484489537892004,0.009806821087551452,0.013353462122345585,0.03246012594566383,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195455,400,9,0.019106663823318246,0.008358372133762252
24,Grid,121,0.0001312885590846,3.525904332855589e-05,0.0046319897380739,0.0028780430586199,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183709,400.0,0,0.001753946679454,9.602951575609134e-05
25,Grid,121,0.0001508997844977,3.510742487448508e-05,0.0045585066283573,0.0025814279509001,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183726,400.0,1,0.0019770786774572,0.0001157923596233
26,Grid,121,0.000145079504957,1.818805409470482e-05,0.0044215136823193,0.0021220344700061,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183744,400.0,2,0.0022994792123131,0.0001268914508623
56,Grid,121,0.00016210077598097317,0.00011832829818981259,0.0055434293637056705,0.004654722123088136,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195512,400,3,0.0008887072406175344,4.3772477791160586e-05
57,Grid,121,9.209937881146489e-05,1.662963265285535e-05,0.003940128450542361,0.0018251645002592752,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195529,400,4,0.0021149639502830854,7.546974615860954e-05
