index,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
53,Grid - sparse,1849,9.014827577527216e-05,7.367636126740482e-05,0.004227329342330634,0.003917551012707377,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122227,181,3,0.0003097783296232568,1.647191450786734e-05
54,Grid - sparse,1849,6.343784890389148e-06,6.27846091448587e-06,0.000966255072321561,0.0009886566468548107,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122253,400,4,2.240157453324966e-05,6.532397590327792e-08
55,Grid - sparse,1849,5.975299873063381e-06,5.693311069152148e-06,0.0011294816234817553,0.00111028972825299,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122348,400,5,1.919189522876525e-05,2.819888039112331e-07
56,Grid - sparse,1849,4.289569223094071e-06,2.7596119296698787e-06,0.0008268240916763396,0.0007309736253395591,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122443,400,6,9.585046633678047e-05,1.5299572934241921e-06
57,Grid - sparse,1849,5.877279715375247e-06,5.544912478747589e-06,0.0009405342967197227,0.0009756339938030158,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122537,400,7,3.509969708329313e-05,3.323672366276579e-07
58,Grid - sparse,1849,1.1883018794051025e-05,1.274163116862251e-05,0.0012312365746007159,0.0011675798852556355,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122630,400,8,6.365668934508041e-05,8.586123745714846e-07
59,Grid - sparse,1849,6.512593481213166e-06,5.043557637128336e-06,0.0009682938039848868,0.0009063330251024318,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122724,400,9,6.196077888245496e-05,1.4690358440848293e-06
72,GREEDYFP,25,0.0201835721360088,0.0335237744216725,0.071183466788694,0.1011110306713253,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185726,400.0,0,0.0299275638826312,0.0133402022856637
73,GREEDYFP,25,0.031039361504248,0.0546286588552577,0.0865136680650109,0.1255649046254643,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185741,397.0,1,0.0390512365604533,0.0235892973510096
74,GREEDYFP,25,0.0285199349810351,0.0497961709211632,0.0839753200906972,0.1206680914360364,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185757,146.0,2,0.0366927713453391,0.021276235940128
168,GREEDYFP,25,0.0300174646597856,0.0526910168052757,0.0851729425951296,0.1235959687601608,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204018,400.0,3,0.0384230261650312,0.0226735521454901
169,GREEDYFP,25,0.0300035140554124,0.0526320840688206,0.0857808147093968,0.1238795665291104,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204034,171.0,4,0.0380987518197136,0.0226285700134081
170,GREEDYFP,25,0.0300895239783885,0.0528558771610425,0.0852805027484862,0.1239757545126594,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204041,400.0,5,0.0386952517641731,0.022766353182654
